product,original_price,selling_price,category,source,rating,main_category,discount,price_range
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,"[""Watches >> Wrist Watches >> Cobra Paris Wrist Watches""]",Flipkart,,Watches,20.005264543300868,Luxury
TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,60.06006006006006,Mid-Range
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,"[""Watches >> Wrist Watches >> Aries Gold Wrist Watches""]",Flipkart,,Watches,4.379881743192934,Luxury
Carlton Boots,3495.0,1223.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,65.0071530758226,Mid-Range
Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,"[""Watches >> Wrist Watches >> Maserati Time Wrist Watches""]",Flipkart,,Watches,0.0,Luxury
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,"[""Watches >> Wrist Watches >> Vizion Wrist Watches""]",Flipkart,,Watches,45.662100456621005,Economy
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,"[""Watches >> Wrist Watches >> Camerii Wrist Watches""]",Flipkart,,Watches,59.14467697907189,Budget
Reckler Slim Fit Men's Jeans,5398.0,2599.0,"[""Clothing >> Men's Clothing >> Jeans >> Reckler Jeans""]",Flipkart,,Clothing,51.85253797702853,Premium
Quechua Arpenaz Novadry Boots,2499.0,2250.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,9.963985594237695,Mid-Range
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,"[""Watches >> Wrist Watches >> Colat Wrist Watches""]",Flipkart,,Watches,78.76969242310578,Economy
Steppings Trendy Boots,1799.0,719.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,60.033351862145636,Economy
Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",Flipkart,,Watches,15.053003533568903,Mid-Range
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,"[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]",Flipkart,,Watches,63.69426751592356,Budget
Catwalk Boots,2095.0,999.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,52.31503579952267,Economy
Magnum Footwear Lifestyle,3999.0,2099.0,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",Flipkart,,Footwear,47.511877969492375,Mid-Range
